title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Ousama Game The Animation,TV,12,Finished Airing,"Oct 5, 2017 to Dec 21, 2017",Fall 2017,"AT-X,Warner Music Japan,Amuse,Hakuhodo DY Music & Pictures,Futabasha,Kakao Japan,Spacey Music Entertainment,A-Craft,Tohan Corporation",Funimation,Seven,Novel,"Mystery,Dementia,Horror,Supernatural,Drama,School",23 min. per ep.,R - 17+ (violence & profanity),5.01,10274,834,"162,675"
Hakata Mentai! Pirikarako-chan,TV,12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019",Summer 2019,-,-,G-angle,Original,"Comedy,Slice of Life",4 min. per ep.,G - All Ages,5.01,10277,8291,"2,254"
Senjuushi,TV,12,Finished Airing,"Jul 3, 2018 to Sep 25, 2018",Summer 2018,-,Sentai Filmworks,TMS Entertainment,Game,"Action,Military",24 min. per ep.,PG-13 - Teens 13 or older,4.95,10320,4557,"10,999"
Legend of Duo,TV,12,Finished Airing,"Apr 21, 2005 to Jun 27, 2005",Spring 2005,-,-,"Radix,Marine Entertainment",Original,"Supernatural,Drama,Vampire,Shounen Ai",5 min. per ep.,R - 17+ (violence & profanity),4.94,10336,4747,"9,931"
Yousei Land Mukashibanashi,TV,12,Finished Airing,"Apr 10, 2017 to Jun 26, 2017",Spring 2017,-,-,-,Picture book,"Comedy,Historical,Fantasy",10 min. per ep.,PG - Children,4.91,10353,11623,536
Ame-iro Cocoa: Side G,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,-,-,EMT Squared,Digital manga,"Slice of Life,Comedy",2 min. per ep.,PG-13 - Teens 13 or older,4.9,10360,5484,"6,971"
Nazotokine,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Pony Canyon Enterprise,-,Tengu Kobo,Original,Game,7 min. per ep.,PG-13 - Teens 13 or older,4.87,10396,4447,"11,620"
Ame-iro Cocoa Series: Ame-con!!,TV,12,Finished Airing,"Oct 4, 2017 to Dec 20, 2017",Fall 2017,-,-,EMT Squared,Digital manga,"Slice of Life,Comedy",2 min. per ep.,PG-13 - Teens 13 or older,4.82,10423,6703,"4,209"
Bishoujo Yuugi Unit Crane Game Girls Galaxy,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Pony Canyon Enterprise,-,Kyotoma,Original,"Game,Space,Comedy",13 min. per ep.,PG - Children,4.82,10424,7783,"2,749"
Ame-iro Cocoa: Rainy Color e Youkoso!,TV,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",Fall 2015,DAX Production,Funimation,EMT Squared,Digital manga,"Slice of Life,Comedy",2 min. per ep.,PG-13 - Teens 13 or older,4.81,10431,4922,"9,069"
Ame-iro Cocoa in Hawaii,TV,12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",Fall 2016,DAX Production,-,EMT Squared,Digital manga,"Comedy,Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,4.8,10434,6072,"5,357"
Love Kome: We Love Rice 2nd Season,TV,12,Finished Airing,"Oct 6, 2017 to Dec 23, 2017",Fall 2017,Just Production,-,Encourage Films,Original,Slice of Life,5 min. per ep.,PG-13 - Teens 13 or older,4.8,10438,7340,"3,298"
Room Mate,TV,12,Finished Airing,"Apr 12, 2017 to Jun 28, 2017",Spring 2017,Smiral Animation,-,Typhoon Graphics,Original,"Harem,Slice of Life",4 min. per ep.,PG-13 - Teens 13 or older,4.77,10455,3633,"18,805"
Ame-iro Cocoa,TV,12,Finished Airing,"Apr 5, 2015 to Jun 21, 2015",Spring 2015,DAX Production,Funimation,EMT Squared,Digital manga,"Comedy,Slice of Life",2 min. per ep.,PG-13 - Teens 13 or older,4.74,10476,3321,"22,405"
